trecho;sequencia;lat;long;modalidade;numero_poste;tipo_poste;num_poste;estru_mt_nv1;estru_mt_nv2;estru_mt_nv3;est_bt_nv1;est_bt_nv2;estai_ancora;base_reforcada;base_concreto;aterr_neutro;chave;trafo;equipamento;faixa;cort_arvores_isol;adiconal_1;qdt_adic_1;adiconal_2;qdt_adic_2;adiconal_3;qdt_adic_3;adiconal_4;qdt_adic_4;adiconal_5;qdt_adic_5;adiconal_6;qdt_adic_6;adiconal_7;rotacao_poste;modulo;municipio;estru_mt_nv1_exist;num_poste_exist;tipo_poste_desloc;tipo_poste_exist;tipo_poste_ret
T1;17;-17,0462475;-49,2130015;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;17;-17,0462475;-49,2130015;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;17;-17,0462475;-49,2130015;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;18;-17,045692;-49,212772;implantar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;18;-17,045692;-49,212772;existente;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;18;-17,045692;-49,212772;retirar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;18;-17,045692;-49,212772;deslocar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;19;-17,04507267;-49,21286267;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;19;-17,04507267;-49,21286267;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;19;-17,04507267;-49,21286267;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;19;-17,04507267;-49,21286267;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;20;-17,04445333;-49,21295333;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;20;-17,04445333;-49,21295333;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;20;-17,04445333;-49,21295333;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;20;-17,04445333;-49,21295333;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;21;-17,043834;-49,213044;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;21;-17,043834;-49,213044;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;21;-17,043834;-49,213044;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;21;-17,043834;-49,213044;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;22;-17,043305;-49,21327934;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;22;-17,043305;-49,21327934;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;22;-17,043305;-49,21327934;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;22;-17,043305;-49,21327934;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;23;-17,042776;-49,21351467;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;23;-17,042776;-49,21351467;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;23;-17,042776;-49,21351467;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;23;-17,042776;-49,21351467;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;24;-17,042247;-49,21375;implantar;;PDT10/600;;UP4;;;;;1EA;;;TRAFO_75KVA;;;;;;;;;;;;;;;;;;;bissetriz1;;;;;;;
T1;24;-17,042247;-49,21375;existente;;PDT10/600;;UP4;;;;;1EA;;;TRAFO_75KVA;;;;;;;;;;;;;;;;;;;bissetriz1;;;;;;;
T1;24;-17,042247;-49,21375;retirar;;PDT10/600;;UP4;;;;;1EA;;;TRAFO_75KVA;;;;;;;;;;;;;;;;;;;bissetriz1;;;;;;;
T1;24;-17,042247;-49,21375;deslocar;;PDT10/600;;UP4;;;;;1EA;;;TRAFO_75KVA;;;;;;;;;;;;;;;;;;;bissetriz1;;;;;;;
T1;25;-17,04167125;-49,21385388;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;25;-17,04167125;-49,21385388;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;25;-17,04167125;-49,21385388;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;25;-17,04167125;-49,21385388;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;26;-17,0410955;-49,21395775;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;26;-17,0410955;-49,21395775;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;26;-17,0410955;-49,21395775;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;26;-17,0410955;-49,21395775;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;27;-17,04051975;-49,21406163;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;27;-17,04051975;-49,21406163;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;27;-17,04051975;-49,21406163;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;27;-17,04051975;-49,21406163;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;28;-17,039944;-49,21416551;implantar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;28;-17,039944;-49,21416551;existente;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;28;-17,039944;-49,21416551;retirar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;28;-17,039944;-49,21416551;deslocar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;29;-17,03936825;-49,21426938;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;29;-17,03936825;-49,21426938;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;29;-17,03936825;-49,21426938;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;29;-17,03936825;-49,21426938;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;30;-17,0387925;-49,21437325;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;30;-17,0387925;-49,21437325;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;30;-17,0387925;-49,21437325;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;30;-17,0387925;-49,21437325;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;31;-17,03821675;-49,21447713;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;31;-17,03821675;-49,21447713;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;31;-17,03821675;-49,21447713;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;31;-17,03821675;-49,21447713;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;32;-17,037641;-49,214581;implantar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;32;-17,037641;-49,214581;existente;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;32;-17,037641;-49,214581;retirar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;32;-17,037641;-49,214581;deslocar;;PDT10/600;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;33;-17,037403;-49,2151458;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;33;-17,037403;-49,2151458;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;33;-17,037403;-49,2151458;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;33;-17,037403;-49,2151458;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;34;-17,03716501;-49,2157106;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;34;-17,03716501;-49,2157106;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;34;-17,03716501;-49,2157106;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;34;-17,03716501;-49,2157106;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;35;-17,03692701;-49,2162754;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;35;-17,03692701;-49,2162754;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;35;-17,03692701;-49,2162754;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;35;-17,03692701;-49,2162754;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;36;-17,036689;-49,2168402;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;36;-17,036689;-49,2168402;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;36;-17,036689;-49,2168402;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;36;-17,036689;-49,2168402;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;37;-17,036451;-49,217405;implantar;;PDT10/600;;U3;;;;;;;BC;;;;;;;;;;;;;;;;;;;;topo2;;;;;;;
T1;37;-17,036451;-49,217405;existente;;PDT10/600;;U3;;;;;;;BC;;;;;;;;;;;;;;;;;;;;topo2;;;;;;;
T1;37;-17,036451;-49,217405;retirar;;PDT10/600;;U3;;;;;;;BC;;;;;;;;;;;;;;;;;;;;topo2;;;;;;;
T1;37;-17,036451;-49,217405;deslocar;;PDT10/600;;U3;;;;;;;BC;;;;;;;;;;;;;;;;;;;;topo2;;;;;;;
